company_name	hw_job_url
ウェルビーナーシング株式会社	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4019004641061&kJKbn=1&fullPart=1
（事業所の意向により公開していません）	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1201018018761&kJKbn=1&fullPart=1
合同会社　ユウガ（デイサービスダイダイ）	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015624461&kJKbn=1&fullPart=1
有限会社　ひさみつ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015541661&kJKbn=1&fullPart=1
社会医療法人　友愛会\n（友愛医療センター・豊見城中央病院・友愛ケアセンター）	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015575661&kJKbn=1&fullPart=1
有限会社　陽気	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015573061&kJKbn=1&fullPart=1
株式会社　良創夢	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701012127261&kJKbn=1&fullPart=1
医療法人ＨＳＲ　名嘉村クリニック	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014184861&kJKbn=1&fullPart=1
株式会社ゆいゆい	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701013100161&kJKbn=1&fullPart=1
医療法人だいわ会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702006563561&kJKbn=1&fullPart=1
株式会社　わくわく沖縄	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702008915361&kJKbn=1&fullPart=1
株式会社トータルライフケアおきなわ　デイサービスセンター島の\n風	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009823961&kJKbn=1&fullPart=1
株式会社トータルライフケアおきなわ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009825061&kJKbn=1&fullPart=1
株式会社トータルライフサポート研究所	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005820761&kJKbn=1&fullPart=1
下地診療所合同会社	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4704001733861&kJKbn=1&fullPart=1
株式会社　ラポール	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4704000992161&kJKbn=1&fullPart=1
石垣市役所	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4705001022061&kJKbn=1&fullPart=1
社会福祉法人　偕生会　特別養護老人ホーム　沖縄偕生園	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015530161&kJKbn=1&fullPart=1
医療法人　城南会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701010788861&kJKbn=1&fullPart=1
合同会社ＤプラスＤサポート沖縄	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009762161&kJKbn=1&fullPart=1
社会福祉法人光和会　特別養護老人ホーム　森城	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009024761&kJKbn=1&fullPart=1
株式会社　響心	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4703002299261&kJKbn=1&fullPart=1
医療法人　福寿会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701010987561&kJKbn=1&fullPart=1
社会福祉法人　沖縄コロニー	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701012979961&kJKbn=1&fullPart=1
合同会社　Ｃｏｍｍｅ　ｍｏｉ　デイサービス　凜　ＲＩＮ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701015413261&kJKbn=1&fullPart=1
株式会社レイクビュー	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701009790161&kJKbn=1&fullPart=1
（有）寿ランド　有料老人ホームゆうらく寿	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701011425761&kJKbn=1&fullPart=1
社会福祉法人南島会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701011164061&kJKbn=1&fullPart=1
医療法人　崇穂会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701011096461&kJKbn=1&fullPart=1
日赤安謝福祉複合施設	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014401661&kJKbn=1&fullPart=1
